,P,Y,Ce,Sm,Eu,Dy,Lu,Hf,Th,U,No,Set,zircon,Sample ID,Rock type,Age(Ma),REE+Y,p,label,pred_type
0,0.7150156246977598,0.25687572039348167,0.09592140972678888,-0.9028236544836841,-1.6347287894256446,0.06638249238373899,0.9619581947694181,0.33194754243131414,-1.0243620726654226,1.6643353528456666,80,Testing set,S-type zircon,181203\LA3-01,Lusatian Granitoids,548.9,16.572169304458765,18.2903225806452,1.0,1.0
1,1.4416819858682397,1.276838744346372,-1.4397291815030682,2.8627604744516377,-1.0771014277274757,1.4179369506962949,0.7806144464216582,0.14905470743747196,-1.3185316091798516,-1.6090694386967495,81,Testing set,S-type zircon,181203\LA3-03,Lusatian Granitoids,547.5,27.221315137947744,34.0322580645161,1.0,1.0
2,1.5842757609211904,1.84612100464141,-1.6806912953226405,1.3581265657801906,-2.632424148395891,1.7654477169833518,1.8658099964295598,-0.571483108886359,-1.0604651842278876,0.5180390083417387,82,Testing set,S-type zircon,181203\LA3-05,Lusatian Granitoids,540.741113439166,56.00447754751485,57.7741935483871,1.0,1.0
3,0.8378226054273882,0.5566458359046677,-0.6175452705106447,0.16977276389406887,-1.8777955621992994,0.5429338927644981,0.24936987108483447,0.6410511360213156,0.07351002233258835,0.8555630314712102,83,Testing set,S-type zircon,181203\LA3-06,Lusatian Granitoids,513.8,18.540180821633097,20.4516129032258,1.0,1.0
4,1.1876021023082386,1.2362405195048836,-1.4053228598775422,2.883530585833101,-1.308954487597553,1.4069331951501092,0.7925883229225987,-0.7292426567164589,-0.9696253604002985,-0.7028042972790459,84,Testing set,S-type zircon,181203\LA3-07,Lusatian Granitoids,579.269580531134,35.3880184863768,36.7741935483871,1.0,1.0
5,1.339926227533712,1.0342421695509,-1.2889979010064303,2.2245521258836516,-1.8349815785724313,1.1703908454775491,0.6467096871792203,1.325829336981983,-0.9498567028037218,-0.7514440760748808,85,Testing set,S-type zircon,181203\LA3-08,Lusatian Granitoids,552.633955439594,15.116166417098771,19.6129032258065,1.0,1.0
6,1.2725790163603505,1.5597936112137563,-1.5291567998263889,-0.02473547078506946,-2.859617020222305,1.3679249776034128,1.8242349939352254,-0.874148758458281,-0.26279879615695784,2.115257280937145,86,Testing set,S-type zircon,181203\LA3-09,Lusatian Granitoids,461.7,53.96451519159953,49.4838709677419,1.0,1.0
7,1.7123560783663714,1.6497880829940068,-1.7674923225826993,1.8505878118010715,-1.8170286897906591,1.6181810103692282,1.7618362044172335,1.1488464129450688,-1.916520235074316,-0.7249897868798009,87,Testing set,S-type zircon,181203\LA3-12,Lusatian Granitoids,561.788063313634,27.362610996435773,34.5806451612903,1.0,1.0
8,0.91197651520295,1.2511460053466537,-1.3235140482054049,2.9996747310437333,-1.4832493882616955,1.4348548126359721,0.6069982814869388,-0.5382387782337489,-0.44397891889696445,-0.9594776847597347,88,Testing set,S-type zircon,181203\LA3-13,Lusatian Granitoids,483.5,33.85320323254661,28.1290322580645,1.0,1.0
9,1.2172360188132625,1.3818461351253377,-1.5601994986730958,2.8026292878316763,-1.740209330317502,1.4997159571803387,1.04378863457732,-0.3636180056839479,-0.8337778327272899,-0.5478115217116091,89,Testing set,S-type zircon,181203\LA3-14,Lusatian Granitoids,508.6,37.501915376908265,36.8709677419355,1.0,1.0
10,1.546672695522252,1.5497549413472413,-1.7070113219768996,1.404376588827046,-1.5999018148637107,1.429520458636262,1.6424265888230616,0.7937955157974081,-1.7199891207001885,-0.14657177215821535,90,Testing set,S-type zircon,181203\LA3-15,Lusatian Granitoids,573.50445791533,29.501601603546273,34.258064516129,1.0,1.0
11,1.5987294352850425,1.8358277972000903,-1.8046866533187111,0.4083601047705378,-3.1443373122888936,1.641635350262456,2.2090662190109165,-0.4445993963608572,-0.684014756071981,1.6336030781031199,91,Testing set,S-type zircon,181203\LA3-16,Lusatian Granitoids,500.56783758717,50.926468578153624,52.5806451612903,1.0,1.0
12,0.5669281473139655,1.0297094728736715,-1.0411958977579963,3.5272677200141214,-1.112431305560346,1.3057022126027285,0.15715813374934318,-0.7410521683037301,-0.317095320677848,-1.2966699316832917,92,Testing set,S-type zircon,181203\LA3-20,Lusatian Granitoids,484.3,28.3517217760557,20.1290322580645,1.0,1.0
13,0.8307584105634895,0.7018929880835376,-0.8309801470701562,1.3992946441520948,-0.2567132983487281,0.8274397423501184,0.4817700475815568,0.08654023889539254,-1.1237934725301473,-0.8239456683767147,93,Testing set,S-type zircon,181203\LA3-21,Lusatian Granitoids,605.0,21.775975796415707,22.0322580645161,1.0,1.0
14,1.0956256096642256,1.2362539607692287,-1.1736017943420733,0.6854128038319713,-1.9878291118449025,1.1547695473452428,1.1126548921387536,-0.1700096117110265,-0.5593052864463492,0.7375476651441466,94,Testing set,S-type zircon,181203\LA3-22,Lusatian Granitoids,542.456502294398,31.281105619604766,29.8709677419355,1.0,1.0
15,1.2870563080249393,1.3292470312422444,-1.1464852300928878,2.372576541474944,-1.7641772037349566,1.3888021534394601,1.012758765163242,-1.0545471677975267,-0.8024426596184218,-0.6945189455004723,95,Testing set,S-type zircon,181203\LA3-25,Lusatian Granitoids,526.6,40.519909413546785,43.3548387096774,1.0,1.0
16,1.289894410364927,1.456729938620701,-1.4330097274974276,1.5951166071763163,-2.0681778908885033,1.4342758489762517,1.2994109715331492,0.0987588358296641,-0.9240599215877617,0.020367013956617296,96,Testing set,S-type zircon,181203\LA3-26,Lusatian Granitoids,527.907873077496,35.30295216994322,35.3548387096774,1.0,1.0
