,No,Set,zircon,Sample ID,Rock type,Age(Ma),REE+Y,label,P,Y,Ce,Sm,Eu,Dy,Lu,Hf,Th,U,pred_type
0,339,Prediction set,detrital zircon,RSES55-5.13,JH zircon,3816.0,7.762269271371395,,10.8979506230883,5.42393986384458,0.109909531169533,0.0127560096060651,0.000249078139189431,0.260114208864947,0.228627598065179,65.189146274113,0.390619175267659,0.878084381093809,1.0
1,340,Prediction set,detrital zircon,RSES58-16.15,JH zircon,3816.44102001962,12.0041734069063,,8.59833691804399,8.80283741914057,0.0712707069275924,0.0131025378422493,0.00179355035821627,0.386888332849952,0.302666430893996,60.4144685858067,0.305575588617638,1.05695432073816,0.0
2,341,Prediction set,detrital zircon,RSES73-3.7,JH zircon,3831.0,8.365329493307964,,8.0004127421937,6.09821511050295,0.0546203728185815,0.00627970210390777,0.00134282915295449,0.267884722614692,0.212061931938862,54.2147305431585,0.140938403573691,0.371230911852932,0.0
3,342,Prediction set,detrital zircon,RSES59-04.08,JH zircon,3838.0,23.544265411286496,,20.1582043178163,17.3360793154022,0.0557552290976036,0.0174476069177194,0.00121121322703929,0.740016776271461,0.575505718810537,64.2838086407929,0.639626444801405,2.01926708029757,1.0
4,343,Prediction set,detrital zircon,RSES53-3.4 average,JH zircon,3839.0,8.468354287556103,,8.23048647428822,6.23569877332229,0.0217182037519721,0.0058689853472905,0.000952115208748267,0.26175730268343,0.210179256634059,67.2737532287368,0.381481086652418,2.14686866959428,1.0
5,344,Prediction set,detrital zircon,RSES56-01.18,JH zircon,3843.0,7.638830917794037,,6.46079143032864,5.52492079252019,0.0174213433367434,0.0050812171419754,0.000569135533744762,0.228858290435412,0.214857796452473,70.9672141903145,0.240212243849027,1.87949806632653,1.0
6,345,Prediction set,detrital zircon,RSES72-14.9,JH zircon,3848.0,8.648422065809184,,14.4665547244315,6.10577303132873,0.0624726253366609,0.0119299078367991,0.00245968429572063,0.285725473782047,0.263580386137626,63.2206195211388,0.559371601631103,0.771016580267453,1.0
7,346,Prediction set,detrital zircon,RSES59-10.08 (near age spot),JH zircon,3859.0,20.40904315912849,,7.29970446416816,15.5477061030113,0.0342910252395317,0.0290121788329766,0.00418275945956387,0.764617607697967,0.378675373767471,65.937511816566,0.802847962465815,2.99558584270135,1.0
8,347,Prediction set,detrital zircon,RSES55-3.13,JH zircon,3862.0,20.259190656920374,,8.63526910259707,15.1887349176297,0.0365836948139072,0.0210460243506134,0.00269948664584556,0.767493950277271,0.405150146890275,75.6082237676303,1.08131269064577,3.677200554614,1.0
9,348,Prediction set,detrital zircon,RSES55-15.13,JH zircon,3865.64060246758,11.75214594380657,,11.1704809845821,8.50468633514064,0.0464553850968938,0.00889011007998179,0.00122012363855869,0.375892736863108,0.312186790948853,57.0982682795902,0.194184541571002,0.444982791888217,1.0
10,349,Prediction set,detrital zircon,RSES54-19.5,JH zircon,3869.21596313396,22.46178366180515,,8.17787717264126,16.8666298898914,0.0954457445782718,0.0563090428968416,0.00801392970912974,0.862602310775079,0.427546725161715,52.4467059566699,0.724115804448071,1.47718842045248,0.0
11,350,Prediction set,detrital zircon,RSES56-10.17,JH zircon,3870.0,11.26249401425527,,5.70770124911228,8.38727583694821,0.0243517633613057,0.0104003357932482,0.00143484028657302,0.361230816884336,0.255270506839249,64.9873250144268,0.426067086629854,2.1137080116483,1.0
12,351,Prediction set,detrital zircon,RSES58-5.11,JH zircon,3871.0,6.843117421254958,,5.8093617353866,5.03091628769259,0.0242651331109987,0.00600589093282959,0.000725421111427251,0.227642934415988,0.1735481314673,66.0425995748775,0.485784529647233,2.80809389557117,1.0
13,352,Prediction set,detrital zircon,RSES59-17.16,JH zircon,3873.0,7.171650156568899,,5.84815323672812,5.1606333862458,0.0489460914234711,0.0124561639301959,0.00119694483385496,0.239155056711087,0.188545271350805,53.5551839428767,0.157103487919703,0.449053832004346,1.0
14,353,Prediction set,detrital zircon,RSES59-6.12,JH zircon,3874.56877098914,9.716344971029606,,6.56511381617777,7.23593011829839,0.021777718733933,0.00518876657900874,0.00111587102368483,0.309032626245655,0.235577982273762,67.6167174608833,0.323205019919456,1.89448329049226,1.0
15,354,Prediction set,detrital zircon,RSES73-9.4 (REE spot B),JH zircon,3884.0,4.97941090876456,,3.74271106046781,3.71294217912643,0.0130291896461771,0.00315376604589392,0.000497260169947099,0.168394328469072,0.119971316958717,75.4081612988781,0.314671681495882,2.14570073100352,1.0
16,355,Prediction set,detrital zircon,RSES73-5.8 average,JH zircon,3884.0,5.118165602339282,,4.77804285489315,3.68099762743565,0.032391050589798,0.00799214410007704,0.00139056826286091,0.167482811454504,0.136180369655954,62.2392141799195,0.255377204199083,1.36518600806687,1.0
17,356,Prediction set,detrital zircon,RSES55-13.8,JH zircon,3885.16487900066,4.215309031385992,,4.86626007949567,2.83462773996806,0.0102962651397413,0.00184529427863486,0.000452888134133236,0.118902330566975,0.163366826490652,81.0217822627427,0.176853042652784,1.73447832841916,1.0
18,357,Prediction set,detrital zircon,RSES56-03.17,JH zircon,3889.0,11.289915189312088,,7.69810655932532,8.23455528722023,0.0897489393180816,0.0176944858424621,0.0016481994369928,0.377435563809988,0.273199883979276,53.4232746228204,0.150768576409118,0.382214757597369,0.0
19,358,Prediction set,detrital zircon,RSES56-03.17,JH zircon,3889.0,11.289915189312088,,7.69810655932532,8.23455528722023,0.0897489393180816,0.0176944858424621,0.0016481994369928,0.377435563809988,0.273199883979276,53.4232746228204,0.150768576409118,0.382214757597369,0.0
