,P,Y,Ce,Sm,Eu,Dy,Lu,Hf,Th,U,No,Set,zircon,Sample ID,Rock type,Age(Ma),label,P_copy,pred_type
0,0.7148653900543568,0.25657098875554685,0.09576362542324883,-0.9034866332030114,-1.6348208464343217,0.0660754274766106,0.9616600375924036,0.33136979283473667,-1.0245325117073658,1.668838630608333,168,Testing set,S-type zircon,181203\LA3-01,Lusatian Granitoids,548.9,1.0,18.2903225806452,1.0
1,1.4416057749526177,1.2766909911000504,-1.4397906561003095,2.8627781704380686,-1.0772451716078546,1.417831289379304,0.7802897175386175,0.1484924009409864,-1.3186634594167421,-1.6065880667168397,169,Testing set,S-type zircon,181203\LA3-03,Lusatian Granitoids,547.5,1.0,34.0322580645161,1.0
2,1.5842215996838223,1.8460716261813899,-1.68073245536176,1.3578914860565914,-2.632409799885564,1.7654044626222785,1.865680589577322,-0.5719809981410167,-1.0606184422021188,0.5216940125366537,170,Testing set,S-type zircon,181203\LA3-05,Lusatian Granitoids,540.741113439166,1.0,57.7741935483871,1.0
3,0.8377249192831515,0.5564490484739395,-0.6176311890890964,0.169393756912842,-1.8778189732273296,0.5427546945863507,0.24903726329445164,0.6405556386569459,0.07325782886314412,0.8589381126482528,171,Testing set,S-type zircon,181203\LA3-06,Lusatian Granitoids,513.8,1.0,20.4516129032258,1.0
4,1.1874631247407172,1.2360285047299147,-1.405412145846221,2.883467344315992,-1.3091180814020291,1.4067723293317396,0.7921882918734071,-0.7298447225627953,-0.96985064632294,-0.6991803189496645,172,Testing set,S-type zircon,181203\LA3-07,Lusatian Granitoids,579.269580531134,1.0,36.7741935483871,1.0
5,1.3398338922229986,1.034048391320902,-1.2890728238809794,2.224441547826308,-1.8350593135694329,1.1702401575396233,0.6463505010384774,1.3251789913520209,-0.950042208021052,-0.7483453945757842,173,Testing set,S-type zircon,181203\LA3-08,Lusatian Granitoids,552.633955439594,1.0,19.6129032258065,1.0
6,1.2725823940382095,1.55983833394979,-1.5291466148218646,-0.02501888964902012,-2.8594812801688554,1.3679499151802745,1.8242815139866952,-0.8744050012478367,-0.2629318748772705,2.11849092636919,174,Testing set,S-type zircon,181203\LA3-09,Lusatian Granitoids,461.7,1.0,49.4838709677419,1.0
7,1.7122901084878,1.649670854011995,-1.7675449462045565,1.850385726941724,-1.8171202180661836,1.618080916011879,1.761638942143347,1.1481800293343447,-1.916600532257158,-0.7217058458100658,175,Testing set,S-type zircon,181203\LA3-12,Lusatian Granitoids,561.788063313634,1.0,34.5806451612903,1.0
8,0.9119201015678438,1.251106959372942,-1.3235329735434702,2.9998810963427425,-1.48327257625695,1.4348554636610713,0.6067946234740338,-0.5385758953721025,-0.4441216054482614,-0.9577431936362955,176,Testing set,S-type zircon,181203\LA3-13,Lusatian Granitoids,483.5,1.0,28.1290322580645,1.0
9,1.2171820063549363,1.3817834201062846,-1.560222956052513,2.8027369059863156,-1.74023934240835,1.4996860890587056,1.043599286513574,-0.36403641905578377,-0.833909872448842,-0.5453847994903671,177,Testing set,S-type zircon,181203\LA3-14,Lusatian Granitoids,508.6,1.0,36.8709677419355,1.0
10,1.5465763590076411,1.549601058674557,-1.7070771975105503,1.4040629483937022,-1.60002976304798,1.4293727467321933,1.6421810167524948,0.7931162803225961,-1.720112337142435,-0.14271677667812768,178,Testing set,S-type zircon,181203\LA3-15,Lusatian Granitoids,573.50445791533,1.0,34.258064516129,1.0
11,1.5987224546692473,1.835847831393509,-1.8046887672687413,0.40805767762659256,-3.14422241452639,1.6416392983847068,2.209087851208468,-0.44499008063312995,-0.6841532156816799,1.6372179331010501,179,Testing set,S-type zircon,181203\LA3-16,Lusatian Granitoids,500.56783758717,1.0,52.5806451612903,1.0
12,0.5668364745669501,1.029635524110954,-1.041232929489709,3.5275669394796054,-1.1124910771558199,1.3056825760498276,0.1568783949056056,-0.7413789318715208,-0.3172548942945026,-1.295127148682656,180,Testing set,S-type zircon,181203\LA3-20,Lusatian Granitoids,484.3,1.0,20.1290322580645,1.0
13,0.8305528292987949,0.7015518766030142,-0.8311263257062079,1.3988943599932782,-0.2570127903472422,0.8271490959672968,0.48125463623879455,0.08580945910015185,-1.1240413531369244,-0.8199064468987003,181,Testing set,S-type zircon,181203\LA3-21,Lusatian Granitoids,605.0,1.0,22.0322580645161,1.0
14,1.095520780364748,1.2361091499913954,-1.173675749960132,0.6850522901423355,-1.987878862783505,1.154633503538726,1.1123970597128858,-0.17053739613661714,-0.559523225129637,0.7413678246918685,182,Testing set,S-type zircon,181203\LA3-22,Lusatian Granitoids,542.456502294398,1.0,29.8709677419355,1.0
15,1.286988808537578,1.329144632233169,-1.146548348451957,2.3725606287215673,-1.764227895381769,1.388726702229912,1.0125221154016317,-1.054974163280347,-0.8026060098616086,-0.6918596975495553,183,Testing set,S-type zircon,181203\LA3-25,Lusatian Granitoids,526.6,1.0,43.3548387096774,1.0
16,1.2898256965287402,1.4566445209630232,-1.4330561111531952,1.59495753560438,-2.0682010883890625,1.434204953804618,1.299218551729566,0.09825655237702692,-0.9242102316286419,0.02348580332418907,184,Testing set,S-type zircon,181203\LA3-26,Lusatian Granitoids,527.907873077496,1.0,35.3548387096774,1.0
17,0.7884727907793325,0.9329920342161232,-1.115983729108985,3.42032320277782,-0.5657787332023881,1.2249660441126442,0.06661936658092904,-0.2973005250192948,-0.7791999872235035,-1.6825110550471702,185,Testing set,S-type zircon,181203\LA3-28,Lusatian Granitoids,509.0,1.0,22.3870967741935,1.0
