,method,parameters,train_acc,test_acc,JH_S_ratio
0,RF,TREE_NUM=5 MAX_LEAF_NODE=5 ,0.9580838323353293,0.5764705882352941,0.18362282878411912
1,SVM,C=0.6 WEIGHT=1.0 ,0.9640718562874252,0.9882352941176471,0.5955334987593052
2,WSVM,C=1.0 WEIGHT=1.0 ,0.9640718562874252,0.9882352941176471,0.6004962779156328
3,TSVM,C=2.0 Cl=3.0 ,0.9700598802395209,0.9941176470588236,0.5459057071960298
